No.	都道府県	市区町村	事業所名（屋号）	業種		還元率
23,351	埼玉県	さいたま市浦和区	庵　浮雨　ｕｎ　ｐｅｕ　アンプウ	サービス	飲食業	5%
23,352	埼玉県	さいたま市浦和区	イズムヘアー　ｉｓｍ　ｈａｉｒ	サービス	理容・美容業	5%
23,353	埼玉県	さいたま市浦和区	ＶＩＳＯＵＲＩＲＥ	サービス	理容・美容業	5%
23,354	埼玉県	さいたま市浦和区	ウインズ浦和サロン山本里美	サービス	理容・美容業	5%
23,355	埼玉県	さいたま市浦和区	ウインズ浦和サロン佐藤佳寿子	サービス	理容・美容業	5%
23,356	埼玉県	さいたま市浦和区	上田理容室	サービス	理容・美容業	5%
23,357	埼玉県	さいたま市浦和区	歌広場　北浦和店	サービス	飲食業	5%
23,358	埼玉県	さいたま市浦和区	内田屋煎餅店	小売業	食料品	5%
23,359	埼玉県	さいたま市浦和区	セブン－イレブン浦和裏門通り店	小売業	食料品	2%
23,360	埼玉県	さいたま市浦和区	セブン－イレブン浦和駅北口店	小売業	食料品	2%
23,361	埼玉県	さいたま市浦和区	セブン－イレブン浦和駅西口店	小売業	食料品	2%
23,362	埼玉県	さいたま市浦和区	セブン－イレブン浦和木崎２T目店	小売業	食料品	2%
23,363	埼玉県	さいたま市浦和区	セブン－イレブン浦和瀬ヶ崎店	小売業	食料品	2%
23,364	埼玉県	さいたま市浦和区	セブン－イレブン浦和常盤５T目店	小売業	食料品	2%
23,365	埼玉県	さいたま市浦和区	セブン－イレブン浦和常盤１０T目店	小売業	食料品	2%
23,366	埼玉県	さいたま市浦和区	セブンーイレブン浦和常盤店	小売業	食料品	2%
23,367	埼玉県	さいたま市浦和区	浦和　マスヤ	小売業	衣料品	5%
23,368	埼玉県	さいたま市浦和区	セブン－イレブン浦和元町中央店	小売業	食料品	2%
23,369	埼玉県	さいたま市浦和区	セブン－イレブン浦和元町２T目店	小売業	食料品	2%
23,370	埼玉県	さいたま市浦和区	運転代行(同)ゼロサービス　１	サービス	運輸業	5%
23,371	埼玉県	さいたま市浦和区	エステサロンロゼッタ	サービス	その他サービス	5%
23,372	埼玉県	さいたま市浦和区	江戸前がってん寿司　浦和西口店	サービス	飲食業	5%
23,373	埼玉県	さいたま市浦和区	エル　レガロ	サービス	飲食業	5%
23,374	埼玉県	さいたま市浦和区	エンドーデンキ仲町店	小売業	電化製品	5%
23,375	埼玉県	さいたま市浦和区	Ｏａｓｉｓ Ｎａｔｕｒａｌ 浦和店	サービス	理容・美容業	5%
23,376	埼玉県	さいたま市浦和区	大原薬局	小売業	その他小売	5%
23,377	埼玉県	さいたま市浦和区	Ｏｐｅｎ　Ｋｉｔｃｈｅｎ　然	サービス	飲食業	5%
23,378	埼玉県	さいたま市浦和区	大山税理士事務所	サービス	その他サービス	5%
23,379	埼玉県	さいたま市浦和区	オリックスレンタカー浦和駅前店	サービス	その他サービス	2%
23,380	埼玉県	さいたま市浦和区	カジュアル和食と地酒しおさか	サービス	飲食業	5%
23,381	埼玉県	さいたま市浦和区	ｃａｆｆｅ ｂａｒ ＰＯＮＴＥ	サービス	飲食業	5%
23,382	埼玉県	さいたま市浦和区	ｃａｆｆｅ＆ｂａｒＰＯＮＴＥ	サービス	飲食業	5%
23,383	埼玉県	さいたま市浦和区	ＣａｆｆｅＢａｃｉ	サービス	飲食業	5%
23,384	埼玉県	さいたま市浦和区	株式会社ハートフルスマイル	サービス	理容・美容業	5%
23,385	埼玉県	さいたま市浦和区	カレーハウスＣｏＣｏ壱番屋ＪＲ北浦和駅前店	サービス	飲食業	2%
23,386	埼玉県	さいたま市浦和区	岸町スペインバルクズザンポ	サービス	飲食業	5%
23,387	埼玉県	さいたま市浦和区	セブン－イレブン北浦和公園前店	小売業	食料品	2%
23,388	埼玉県	さいたま市浦和区	セブン－イレブン北浦和３T目店	小売業	食料品	2%
23,389	埼玉県	さいたま市浦和区	キッチン　スティック?トゥ	サービス	飲食業	5%
23,390	埼玉県	さいたま市浦和区	ぎょうざの満洲　北浦和西口店	サービス	飲食業	5%
23,391	埼玉県	さいたま市浦和区	きらく屋　北浦和店	小売業	衣料品	5%
23,392	埼玉県	さいたま市浦和区	靴下と生活雑貨のお店さきっちょ	小売業	衣料品	5%
23,393	埼玉県	さいたま市浦和区	ＧｒｅｅｎーＮＯＡ	サービス	その他サービス	5%
23,394	埼玉県	さいたま市浦和区	グリーンパル	小売業	食料品	5%
23,395	埼玉県	さいたま市浦和区	ケアサポート彩玉	サービス	運輸業	5%
23,396	埼玉県	さいたま市浦和区	コタイム	サービス	その他サービス	5%
23,397	埼玉県	さいたま市浦和区	コミックバスター 浦和店	サービス	その他サービス	2%
23,398	埼玉県	さいたま市浦和区	ＴＨＥ　ＯＲＩＥＮＴＡＬＳ	サービス	その他サービス	5%
23,399	埼玉県	さいたま市浦和区	セブン－イレブンさいたま上木崎２T目店	小売業	食料品	2%
23,400	埼玉県	さいたま市浦和区	セブン－イレブンさいたま仲町２T目店	小売業	食料品	2%
23,401	埼玉県	さいたま市浦和区	彩丸　さいまる	サービス	飲食業	5%
23,402	埼玉県	さいたま市浦和区	酒蔵力浦和本店	サービス	飲食業	5%
23,403	埼玉県	さいたま市浦和区	サムシング	サービス	飲食業	5%
23,404	埼玉県	さいたま市浦和区	ＣＨＡＮＣＥ　ｈａｉｒ＆ｓｐａ	サービス	理容・美容業	5%
23,405	埼玉県	さいたま市浦和区	修理加工カラクリ	サービス	その他サービス	5%
23,406	埼玉県	さいたま市浦和区	旬菜料理でんご	サービス	飲食業	5%
23,407	埼玉県	さいたま市浦和区	ｓｔｕｄｉｏ　ｔｏｎｉｎｇ	サービス	その他サービス	5%
23,408	埼玉県	さいたま市浦和区	Ｓｐｉｃａ	小売業	衣料品	5%
23,409	埼玉県	さいたま市浦和区	炭火やきとり 浦和弁慶	サービス	飲食業	5%
23,410	埼玉県	さいたま市浦和区	炭火焼鳥家ちきちき	サービス	飲食業	5%
23,411	埼玉県	さいたま市浦和区	生活彩家さいたま市役所店	小売業	総合(非専門)	2%
23,412	埼玉県	さいたま市浦和区	蕎麦　孤丘	サービス	飲食業	5%
23,413	埼玉県	さいたま市浦和区	そば茶屋遊彩　石本家	サービス	飲食業	5%
23,414	埼玉県	さいたま市浦和区	Ｄｉｎｉｎｇ　斗乃蔵	サービス	飲食業	5%
23,415	埼玉県	さいたま市浦和区	たかはしでんき	小売業	電化製品	5%
23,416	埼玉県	さいたま市浦和区	ＴＡＢＡＳＡ　浦和店	小売業	衣料品	5%
23,417	埼玉県	さいたま市浦和区	ＣＡＮＴＥ　与野駅前店	サービス	理容・美容業	5%
23,418	埼玉県	さいたま市浦和区	中華料理 香香	サービス	飲食業	5%
23,419	埼玉県	さいたま市浦和区	イタリアのごはんとワインチルコロ	サービス	飲食業	5%
23,420	埼玉県	さいたま市浦和区	艶染め専門　髪結処　染や　北浦和店	サービス	理容・美容業	5%
23,421	埼玉県	さいたま市浦和区	ティアラ整骨院	サービス	その他サービス	5%
23,422	埼玉県	さいたま市浦和区	ＤｉａＲｉｌｙ	サービス	理容・美容業	5%
23,423	埼玉県	さいたま市浦和区	ティーエヌ浦和店　浦和店	サービス	理容・美容業	2%
23,424	埼玉県	さいたま市浦和区	ティエヌ浦和店	サービス	その他サービス	2%
23,425	埼玉県	さいたま市浦和区	とと浜	サービス	飲食業	5%
23,426	埼玉県	さいたま市浦和区	ｔｏｔｏｒｏｎ	サービス	その他サービス	5%
