No.	都道府県	市区町村	事業所名（屋号）	業種		還元率
202,278	愛媛県	今治市	ａｉｓ．ｈａｉｒ　ｌｏｕｎｇｅ	サービス	理容・美容業	5%
202,279	愛媛県	今治市	アイビーロードのまＳＳ	小売業	ガソリンスタンド	2%
202,280	愛媛県	今治市	ａｇｈｉｅｆｉｌｉ	小売業	衣料品	5%
202,281	愛媛県	今治市	朝倉　ＳＳ	小売業	ガソリンスタンド	2%
202,282	愛媛県	今治市	朝倉ＳＳ	小売業	ガソリンスタンド	2%
202,283	愛媛県	今治市	アトラクト　ヘアーアンドネイル	サービス	理容・美容業	5%
202,284	愛媛県	今治市	阿彩都	小売業	食料品	5%
202,285	愛媛県	今治市	イオンモール今治新都市店	サービス	その他サービス	5%
202,286	愛媛県	今治市	いけうち仏壇店	小売業	その他小売	5%
202,287	愛媛県	今治市	池田時計店　今治東店	小売業	貴金属・服飾品	5%
202,288	愛媛県	今治市	イズム　ヘアスタジオ	サービス	理容・美容業	5%
202,289	愛媛県	今治市	出光今治北インターＳＳ	小売業	ガソリンスタンド	2%
202,290	愛媛県	今治市	出光今治バイパスＳＳ	小売業	ガソリンスタンド	2%
202,291	愛媛県	今治市	出光九王ＳＳ	小売業	ガソリンスタンド	2%
202,292	愛媛県	今治市	出光コモド立花ＳＳ	小売業	ガソリンスタンド	2%
202,293	愛媛県	今治市	出光地堀ＳＳ	小売業	ガソリンスタンド	2%
202,294	愛媛県	今治市	出光伯方ＳＳ	小売業	ガソリンスタンド	2%
202,295	愛媛県	今治市	出光村上大西ＳＳ	小売業	ガソリンスタンド	2%
202,296	愛媛県	今治市	今治ＳＳ	小売業	ガソリンスタンド	2%
202,297	愛媛県	今治市	Ｄｒ．Ｄｒｉｖｅ今治ＳＳ	小売業	ガソリンスタンド	2%
202,298	愛媛県	今治市	今治アーバンホテル	サービス	宿泊業	5%
202,299	愛媛県	今治市	ｉｍａｂａｒｉ　ｔｏｗｅｌ	小売業	その他小売	5%
202,300	愛媛県	今治市	ｉｍａｂａｒｉｔｏｗｅｌ今治国際ホテル店	小売業	その他小売	5%
202,301	愛媛県	今治市	今治アーバンホテル	サービス	宿泊業	5%
202,302	愛媛県	今治市	セブン－イレブン今治学園通り店	小売業	食料品	2%
202,303	愛媛県	今治市	セブン－イレブン今治片山３丁目店	小売業	食料品	2%
202,304	愛媛県	今治市	今治河南ＳＳ	小売業	ガソリンスタンド	2%
202,305	愛媛県	今治市	セブン－イレブン今治北鳥生町４丁目店	小売業	食料品	2%
202,306	愛媛県	今治市	セブン－イレブン今治北日吉町２丁目店	小売業	食料品	2%
